Tag;English;Polish
//Main Menu;;
MainMenu_NewGame;New Game;Nowa Gra
MainMenu_Continue;Continue;Kontynuuj
MainMenu_Language;Language;Język
MainMenu_Back;Back;Wróć
//Languages;;
English;English;Angielski
Polish;Polish;Polski
//Players Screen;;
Players_Title;Players;Gracze
Players_SubTitle;How many individuals will be sharing this experience today?;Ile osób będzie dziś dzielić to doświadczenie?
Players_Two;2 Players;2 Graczy
Players_Three;3 Players;3 Graczy
Players_Four;4 Players;4 Graczy
Players_NumTwo;two;dwójka
Players_NumThree;three;trójka
Players_NumFour;four;czwórka
Players_Initial;As siblings of an influential family of Eastern European descent, the <b>{0}</b> of us have received a not-insignificant portion of our family's estate.<br /><br /> Before we begin, let us make this historical fiction more engaging by providing our names.;Jako rodzeństwo wpływowej rodziny pochodzenia wschodnioeuropejskiego, nasza <b>{0}</b> otrzymała niemałą część rodzinnego majątku.<br /><br /> Zanim zaczniemy, uczyńmy tę historyczną fikcję bardziej wciągającą, podając nasze imiona.
Players_NameEntryPass;Carefully pass the storybook to Player {0};Ostrożnie przekaż księgę graczowi {0}
Players_NameEntrySubTitle;Player {0} – Please enter your given name:;Gracz {0} - Podaj swoje imię:
Players_NameEntryPlaceholder;Enter name...;Wprowadź imię...
Players_NameEntryPopUp;The name must be between 2 and 15 characters.;Imię musi zawierać od 2 do 15 znaków.
Players_NameEntryFirst;Welcome to <strong>My Father's Work</strong>,<br /><br /><span class=""player-name"">{0}</span><br /><br />Our warmest regards.;Witamy w <strong>My Father's Work</strong>,<br /><br /><span class=""player-name"">{0}</span><br /><br />Nasze najserdeczniejsze pozdrowienia.
Players_NameEntrySecond;Welcome to <strong>My Father's Work</strong>,<br /><br /><span class=""player-name"">{0}</span><br /><br />Please enjoy your experience.;Witamy w <strong>My Father's Work</strong>,<br /><br /><span class=""player-name"">{0}</span><br /><br />Życzymy miłych wrażeń.
