Tag;English
Global_ClickHereToContinue;Click here to continue...
Global_ClickHereContinueNextRound;Click here to continue to the next round...
Global_ClickHere;Click Here
Global_OnceYouAreReady;Once you are ready, click here to reveal your secret conversation.
Global_Setup;SETUP
Global_SpecialSetup;SPECIAL SETUP
Global_Accept;Accept
Global_Confirm;Confirm
Global_Choose;CHOOSE:
Global_DoNotOtherPlayersSee;Carefully hand this storybook device to {0} and do not allow any other players to see the screen.
Global_EarlyYears;Early Years
Global_MiddleYears;Middle Years
Global_LateYears;Late Years
Global_FirstGeneration;First Generation
Global_SecondGeneration;Second Generation
Global_ThirdGeneration;Third Generation
Global_EndOfRound_Title;End of the Round
Global_EndOfRound_Content_0;The {0} of the {1} has ended.
Global_EndOfRound_Content_1;Perform all End of Round actions.<br />Then, perform all Start of Round actions for the {0} before continuing.
Global_EndOfRound_Content_2;Perform all End of Round actions before continuing.
Global_ClickHereAfterBid;Click here after resolving the bid...
Global_EndOfGeneration_Title;End of Generation
Global_ClickAtTheEndOfGeneration;Click here at the end of the Generation to continue...
Init_Main;Complete the standard setup for {0} players as shown in the rulebook. <i>Note that the <icon=AngryMob_Icon> track and starting player will be set by the Storybook in the coming pages.</i><br /><sprite=ScenarioBox3D_Disease>Then, retrieve <b>The Cost of Disease</b> Scenario box, which will contain all components needed for this story. As the Storybook progresses, it will ask you to put items into play from this box. Be sure to keep it nearby.
Dubious_0_Content;Retrieve the Dubious Bartering cards from the scenario box. Shuffle them and <b>give each player a Dubious Bartering card</b> and return any remaining to the box. This card is placed face-up near their Estate and is activated each time the listed action is taken.
SpecialGen1_Content;<b>Retrieve the <icon=StorybookToken> tokens.</b><br /><br />Place one token on <b>space 3</b> of the <icon=Insanity_Icon> Track.<br /><br />Place one token on <b>space 4</b> of the <icon=Creepy_Icon> Track.<br /><br /><i>When a player's piece reaches one of these tokens, they will click on the appropriate link and receive a special message for reaching this achievement.</i>
FirstTimeSuspicion_Content;Place the Suspicion marker on space <b>{0}</b> and the <icon=AngryMob_Icon> token one space to the left.<br /><br /><b>Suspicion Marker</b><br />The Suspicion Marker represents the furthest right that the <icon=AngryMob_Icon> can move during a Generation. This marker stays in the same location throughout the current Generation and the <icon=AngryMob_Icon> token can never be moved <b>onto or past</b> this marker by any actions or abilities during gameplay.
FirstPlayer_Content;Turn to <b>The Cost of Disease</b> section of the Village Chronicle. Then, turn to <b>page 1</b> <i>(this is noted by the matching The Cost of Disease symbol:</i> <icon=S1_ScenarioIcon>). <br />Retrieve the <icon=S1_HeartToken> tokens from the Scenario box and keep them in a supply near the board.<br />Give the <b>Start Player</b> marker to <b>{0}.</b>
Fever1_Hospital_Content1;Each time a player visits the church, they may donate funds and assistance towards building a new Hospital by paying money to the supply. Depending on the amount spent ($0, $1, or $2), the player will receive 1, 2, or 3 <icon=S1_HeartToken> and lose 1, 2, or 3 <icon=Creepy_Icon>. <i>You do not pay extra ($) for placing a piece if another player has already placed at the church.</i><br /><br />At the end of the Generation, the player with the most <icon=S1_HeartToken> tokens will gain <b>5VP.</b> <i>If there is a tie, all tied players gain 5VP each.</i>
Fever1_Bank_Content;A new Bank has been built in town. For each visit to the Bank, <b>gain $2.</b>
Fever1_Library_Content;A new Library has been built in town. For each visit to the Library, <b>gain one Knowledge of your choice </b><i>(not Occult).</i> You will also gain 1 <icon=Creepy_Icon>.
Fever1_Creepy_Content;If a player reaches the <b>4th</b> space on the <icon=Creepy_Icon> Track, 
Fever1_Sane_Content;If a player reaches the <b>3rd</b> space on the <icon=Insanity_Icon> Track, 
